bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
09,09575,3,0,0,2,26,47,2020-06-13 12:15:00
09,09576,1,0,0,1,7,4,2020-06-13 12:15:00
09,09577,2,0,0,2,7,9,2020-06-13 12:15:00
09,09661,2,1,1,1,11,42,2020-06-13 12:15:00
09,09662,2,0,0,2,5,46,2020-06-13 12:15:00
09,09663,3,5,5,3,48,101,2020-06-13 12:15:00
09,09671,1,0,0,1,0,8,2020-06-13 12:15:00
09,09672,4,0,0,4,10,43,2020-06-13 12:15:00
09,09673,1,0,0,1,29,130,2020-06-13 12:15:00
09,09674,2,0,0,2,10,6,2020-06-13 12:15:00
09,09675,1,0,0,1,7,5,2020-06-13 12:15:00
09,09676,1,0,0,1,3,11,2020-06-13 12:15:00
09,09678,2,0,0,2,5,0,2020-06-13 12:15:00
09,09679,1,0,0,1,6,6,2020-06-13 12:15:00
09,09761,4,0,0,3,49,107,2020-06-13 12:15:00
09,09762,1,0,0,1,14,17,2020-06-13 12:15:00
09,09763,1,0,0,1,3,28,2020-06-13 12:15:00
09,09764,1,0,0,1,18,19,2020-06-13 12:15:00
09,09771,2,0,0,2,15,11,2020-06-13 12:15:00
09,09772,2,0,0,2,11,7,2020-06-13 12:15:00
09,09773,2,0,0,2,6,18,2020-06-13 12:15:00
09,09774,4,0,0,4,21,50,2020-06-13 12:15:00
09,09775,2,4,1,2,5,17,2020-06-13 12:15:00
09,09776,2,0,0,2,9,6,2020-06-13 12:15:00
09,09777,2,0,0,2,11,13,2020-06-13 12:15:00
09,09778,2,0,0,2,6,14,2020-06-13 12:15:00
09,09779,3,0,0,3,16,17,2020-06-13 12:15:00
09,09780,2,0,0,2,11,13,2020-06-13 12:15:00
10,10041,7,1,1,7,85,143,2020-06-13 12:15:00
10,10042,2,0,0,2,20,5,2020-06-13 12:15:00
10,10043,3,0,0,3,21,28,2020-06-13 12:15:00
10,10044,4,1,1,3,33,38,2020-06-13 12:15:00
10,10045,2,3,0,2,109,163,2020-06-13 12:15:00
10,10046,1,0,0,1,6,10,2020-06-13 12:15:00
11,11000,60,58,33,42,377,1050,2020-06-13 12:15:00
12,12051,3,0,0,3,7,48,2020-06-13 12:15:00
12,12052,2,0,0,2,42,61,2020-06-13 12:15:00
12,12053,1,0,0,1,13,28,2020-06-13 12:15:00
12,12054,4,0,0,4,35,49,2020-06-13 12:15:00
12,12060,2,0,0,2,38,60,2020-06-13 12:15:00
12,12061,5,0,0,5,17,54,2020-06-13 12:15:00
12,12062,3,0,0,3,27,20,2020-06-13 12:15:00
12,12063,4,0,0,2,14,15,2020-06-13 12:15:00
12,12064,3,0,0,3,18,21,2020-06-13 12:15:00
12,12065,5,0,0,5,33,26,2020-06-13 12:15:00
12,12066,1,3,0,1,23,22,2020-06-13 12:15:00
12,12067,4,0,0,4,78,74,2020-06-13 12:15:00
12,12068,3,0,0,3,25,41,2020-06-13 12:15:00
12,12069,3,0,0,3,40,62,2020-06-13 12:15:00
12,12070,2,0,0,2,15,10,2020-06-13 12:15:00
12,12071,3,0,0,3,6,17,2020-06-13 12:15:00
12,12072,2,0,0,2,9,13,2020-06-13 12:15:00
12,12073,4,0,0,4,17,26,2020-06-13 12:15:00
13,13003,2,1,1,2,28,91,2020-06-13 12:15:00
13,13004,1,0,0,1,7,47,2020-06-13 12:15:00
13,13071,5,1,0,5,42,49,2020-06-13 12:15:00
13,13072,6,0,0,4,25,42,2020-06-13 12:15:00
13,13073,4,0,0,4,30,40,2020-06-13 12:15:00
13,13074,2,0,0,2,14,36,2020-06-13 12:15:00
13,13075,7,0,0,7,71,166,2020-06-13 12:15:00
13,13076,6,0,0,6,37,144,2020-06-13 12:15:00
14,14511,3,0,0,3,26,149,2020-06-13 12:15:00
14,14521,6,0,0,6,34,54,2020-06-13 12:15:00
14,14522,5,0,0,5,33,40,2020-06-13 12:15:00
14,14523,4,0,0,4,46,46,2020-06-13 12:15:00
14,14524,6,0,0,5,33,86,2020-06-13 12:15:00
14,14612,12,0,0,6,54,229,2020-06-13 12:15:00
14,14625,6,3,3,5,21,43,2020-06-13 12:15:00
14,14626,6,0,0,6,23,43,2020-06-13 12:15:00
14,14627,5,0,0,5,46,50,2020-06-13 12:15:00
14,14628,6,26,7,6,59,64,2020-06-13 12:15:00
14,14713,9,0,0,7,130,298,2020-06-13 12:15:00
14,14729,4,0,0,3,26,39,2020-06-13 12:15:00
14,14730,8,0,0,8,31,49,2020-06-13 12:15:00
15,15001,2,0,0,2,23,25,2020-06-13 12:15:00
15,15002,6,3,1,5,96,225,2020-06-13 12:15:00
15,15003,7,1,1,5,53,175,2020-06-13 12:15:00
15,15081,2,0,0,2,9,11,2020-06-13 12:15:00
15,15082,3,0,0,3,29,37,2020-06-13 12:15:00
15,15083,2,0,0,2,19,20,2020-06-13 12:15:00
15,15084,3,0,0,3,28,29,2020-06-13 12:15:00
15,15085,4,0,0,4,18,34,2020-06-13 12:15:00
15,15086,2,3,2,2,9,23,2020-06-13 12:15:00
15,15087,3,0,0,3,20,17,2020-06-13 12:15:00
15,15088,2,0,0,2,11,12,2020-06-13 12:15:00
15,15089,4,0,0,4,24,49,2020-06-13 12:15:00
15,15090,2,0,0,2,31,17,2020-06-13 12:15:00
